osmid,x,y,ref,highway,index,index_right,objectid,taz,district,county,gacres
678279139,-122.4507526,37.7457611,,,181408,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
1614176407,-122.451319,37.7452099,,,190218,1094.0,1095.0,171.0,4.0,San Francisco,213.292270747
1614176443,-122.4512926,37.7451244,,,190219,1094.0,1095.0,171.0,4.0,San Francisco,213.292270747
1614176501,-122.4393453,37.7347756,,,190220,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
1614214651,-122.4363846,37.7392619,,,190223,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
2020113650,-122.4358659,37.733841,,,196250,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
2020113663,-122.43584140000002,37.7339126,,,196251,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
2318037193,-122.4416027,37.73671160000001,,,198285,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
2320396419,-122.433325,37.7400571,,,198294,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
2320396427,-122.43375120000002,37.7401468,,,198295,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
2320396492,-122.43362150000002,37.739841,,,198296,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
2320396512,-122.4329868,37.7400737,,,198297,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
2320396530,-122.4389229,37.7357049,,,198298,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
3117933958,-122.4399432,37.7349834,,,205402,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
4393868861,-122.4285806,37.7385508,,,213782,1127.0,1128.0,127.0,3.0,San Francisco,206.330581382
4429282859,-122.4397551,37.7358715,,,213920,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
5353921548,-122.4356808,37.7415269,,,222708,1066.0,1067.0,130.0,3.0,San Francisco,493.242085724
65283475,-122.3924632,37.7562539,,motorway_junction,87707,1129.0,1130.0,113.0,3.0,San Francisco,298.275192638
65283514,-122.3907028,37.7526636,,,87710,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65283528,-122.3919907,37.7558297,,,87711,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65283619,-122.3930806,37.7633265,,motorway_junction,87713,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65283620,-122.3929587,37.7627923,,,87714,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65283638,-122.3931805,37.764071,,,87715,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65283647,-122.3925696,37.7606346,,,87716,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65286515,-122.3923685,37.7628271,,,87800,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65288917,-122.3858457,37.752943,,,88039,1169.0,1170.0,142.0,3.0,San Francisco,1321.86397486
65288920,-122.3868366,37.75289,,,88040,1169.0,1170.0,142.0,3.0,San Francisco,1321.86397486
65288925,-122.3887861,37.7527748,,,88041,1169.0,1170.0,142.0,3.0,San Francisco,1321.86397486
65288928,-122.3897002,37.7527267,,,88042,1169.0,1170.0,142.0,3.0,San Francisco,1321.86397486
65289038,-122.3930445,37.7615052,,,88059,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65289047,-122.3921299,37.75771029999999,,,88060,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65289050,-122.3918937,37.755163,,,88061,1129.0,1130.0,113.0,3.0,San Francisco,298.275192638
65289075,-122.3924884,37.7641143,,traffic_signals,88062,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65290896,-122.3898612,37.7642692,,,88201,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65290899,-122.3908315,37.7642144,,traffic_signals,88202,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65290902,-122.3917876,37.764162,,,88203,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65290909,-122.3937392,37.7640329,,,88204,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65293453,-122.38769,37.761826,,,88494,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65293457,-122.3886243,37.7617732,,traffic_signals,88495,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65293460,-122.389608,37.761711,,,88496,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65293462,-122.390573,37.7616525,,,88497,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65293463,-122.39153799999998,37.761594,,,88498,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65299961,-122.3878162,37.7541185,,traffic_signals,89289,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65299968,-122.3879104,37.7553815,,traffic_signals,89290,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65299984,-122.3882572,37.7579454,,traffic_signals,89291,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65299991,-122.3884713,37.760499,,traffic_signals,89292,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65313184,-122.389733,37.762986,,,90717,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65313186,-122.3895065,37.7604386,,,90718,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65313188,-122.389248,37.757884,,,90719,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65313194,-122.389001,37.75533,,,90720,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65313196,-122.388877,37.754053000000006,,,90721,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65314704,-122.3910214,37.7562089,,,90863,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65322230,-122.384062,37.754291,,,91551,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65322234,-122.385973,37.754225,,,91552,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65322239,-122.3869649,37.7541676,,,91553,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65322249,-122.3898457,37.7540029,,,91554,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65324899,-122.3878142,37.763107,,,91792,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65324902,-122.390698,37.762926,,,91793,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65329937,-122.3899664,37.7552713,,,92240,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65329943,-122.390454,37.760424,,,92243,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65329945,-122.39021,37.757826,,,92244,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65329947,-122.39016979999998,37.7573865,,,92245,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65332772,-122.38756979999998,37.7605555,,,92392,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65332774,-122.3873288,37.7580008,,,92393,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65332776,-122.38708,37.7554463,,,92394,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65333583,-122.391418,37.760361,,,92480,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65333591,-122.391174,37.757768,,stop,92481,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65333594,-122.3909362,37.7552216,,,92482,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65361413,-122.38480459999998,37.7607234,,,94227,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65372305,-122.383436,37.757772,,,94641,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
258965258,-122.38788,37.7528336,,traffic_signals,160802,1169.0,1170.0,142.0,3.0,San Francisco,1321.86397486
258965259,-122.3879728,37.7541117,,traffic_signals,160803,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
258965260,-122.3881229,37.7553714,,traffic_signals,160804,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
258965261,-122.3884091,37.7579355,,traffic_signals,160805,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
258965262,-122.3886787,37.760487700000006,,traffic_signals,160806,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
258965263,-122.3887785,37.7617629,,traffic_signals,160807,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
259394878,-122.3923242,37.7606049,56,motorway_junction,161073,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
259394880,-122.39334209999998,37.765352500000006,,,161074,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
298938908,-122.3840883,37.7530436,,,165615,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
298938937,-122.3843531,37.7556171,,,165616,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
298938949,-122.39073190000002,37.7535136,,,165617,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
298938951,-122.3911647,37.7526361,,,165619,1129.0,1130.0,113.0,3.0,San Francisco,298.275192638
298938962,-122.392121,37.7575914,,,165620,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
298940440,-122.3891166,37.7567036,,,165621,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
767808208,-122.392205,37.7572997,,,183084,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
984774431,-122.3923624,37.7649539,,,184163,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
1563110109,-122.3888365,37.7630428,,traffic_signals,189883,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
1563110114,-122.3886719,37.763052,,traffic_signals,189884,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
1563110139,-122.3887549,37.76433170000001,,traffic_signals,189887,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
1563110148,-122.3889793,37.764319,,traffic_signals,189888,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
1656766007,-122.3918737,37.7615745,,,190496,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
1656768193,-122.3925925,37.7576828,,,190498,1129.0,1130.0,113.0,3.0,San Francisco,298.275192638
1728581574,-122.3876736,37.75284620000001,,traffic_signals,192099,1169.0,1170.0,142.0,3.0,San Francisco,1321.86397486
3584465769,-122.390796,37.7663822,,,208209,1067.0,1068.0,111.0,3.0,San Francisco,534.514828345
65286507,-122.3936734,37.7632954,,,87799,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65290912,-122.3947346,37.7639679,,,88205,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65290915,-122.3956935,37.7639061,,,88206,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65290918,-122.3966592,37.7638479,,,88207,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65290920,-122.3976126,37.7637902,,,88208,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65290923,-122.3985796,37.7637318,,,88209,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65293472,-122.3934993,37.7614777,,,88499,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65293474,-122.3944742,37.7614188,,,88500,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65293476,-122.3954492,37.7613598,,,88501,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65293480,-122.3964172,37.761301200000005,,,88502,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65293482,-122.39737209999998,37.7612435,,,88503,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65293484,-122.3983381,37.761185100000006,,,88504,1128.0,1129.0,114.0,3.0,San Francisco,234.384332678
65303657,-122.398461,37.762463,,,89636,1128.0,1129.0,114.0,3.0,San Francisco,234.384332678
65303664,-122.39821609999998,37.759910600000005,,,89637,1128.0,1129.0,114.0,3.0,San Francisco,234.384332678
65305403,-122.3965374,37.7625798,,,89821,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65305406,-122.39627620000002,37.7600273,,,89822,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65324419,-122.3936217,37.7627555,,,91728,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65324422,-122.3933768,37.7601994,,,91729,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65324911,-122.394595,37.762696000000005,,,91794,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65324913,-122.39557179999998,37.7626374,,,91795,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65324916,-122.397495,37.762521,,,91796,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65333194,-122.3953267,37.760083,,,92435,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65357028,-122.3972491,37.7599683,,,93975,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65360260,-122.3943519,37.7601412,,,94169,1068.0,1069.0,112.0,3.0,San Francisco,107.29691319
65290294,-122.4102625,37.7630381,,,88171,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65290299,-122.4100144,37.760493700000005,,,88172,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65290305,-122.40978529999998,37.7592022,,,88173,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65290314,-122.4096146,37.7576026,,,88174,1070.0,1071.0,117.0,3.0,San Francisco,112.73227604
65290951,-122.4083274,37.763156,,,88217,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65290958,-122.4092976,37.7630967,,,88218,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65290960,-122.4112193,37.7629823,,,88219,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65290965,-122.4121747,37.762924700000006,,,88220,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65293540,-122.4080819,37.7606084,,,88514,1130.0,1131.0,115.0,3.0,San Francisco,119.219366465
65293542,-122.4090473,37.7605471,,,88515,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65293544,-122.4109745,37.7604315,,,88516,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65293554,-122.4126537,37.7603275,,,88517,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65293564,-122.4126835,37.7606365,,,88518,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65293566,-122.413773,37.7605704,,,88519,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65293569,-122.41486299999998,37.7605046,,traffic_signals,88520,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65293573,-122.4159557,37.7604405,,,88521,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65296223,-122.41398490000002,37.7621664,,,88846,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
